	Gene ID	source_id	Input Order	Input ID	Product Description	Gene Name or Symbol	Apollo Product Description	PFam ID	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Process IDs	Computed GO Functions	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Functions	Curated GO Function IDs	Curated GO Process IDs	Curated GO Processes	UniProt ID(s)
80	PF3D7_0623100	PF3D7_0623100.1	206	PF3D7_0623100	nuclear polyadenylated RNA-binding protein NAB2, putative	NAB2	None	PF14608			GO:0046872;GO:0008143	GO:1900364;GO:0043488	metal ion binding;poly(A) binding	negative regulation of mRNA polyadenylation;regulation of mRNA stability	GO:0005737;GO:0034399;GO:0005634	cytoplasm;nuclear periphery;nucleus	RNA binding;poly(A) binding	GO:0003723;GO:0008143	GO:1900364;GO:0043488	negative regulation of mRNA polyadenylation;regulation of mRNA stability	C6KT67
81	PF3D7_0623600	PF3D7_0623600.1	207	PF3D7_0623600	splicing factor-like protein 1, putative		None	PF00013;PF16275			GO:0003723;GO:0003676;GO:0045131;GO:0008270	GO:0000398	RNA binding;nucleic acid binding;pre-mRNA branch point binding;zinc ion binding	mRNA splicing, via spliceosome	GO:0005634	nucleus	RNA binding;mRNA binding	GO:0003723;GO:0003729	GO:0008380;GO:0000375;GO:0000398;GO:0000381	RNA splicing;RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome;regulation of alternative mRNA splicing, via spliceosome	C6KT72
82	PF3D7_0624600	PF3D7_0624600.1	37	PF3D7_0624600	ISWI chromatin-remodeling complex ATPase	ISWI	None	PF00176;PF00271;PF00628			GO:0005524;GO:0003678;GO:0046872		ATP binding;DNA helicase activity;metal ion binding		GO:0005634	nucleus	ATP-dependent activity, acting on DNA;DNA binding;RNA binding;helicase activity;transcription cis-regulatory region binding	GO:0008094;GO:0003677;GO:0003723;GO:0004386;GO:0000976	GO:0006338;GO:0045893	chromatin remodeling;positive regulation of transcription, DNA-templated	C6KT82
83	PF3D7_0629400	PF3D7_0629400.1	38	PF3D7_0629400	polyadenylate-binding protein 3, putative	PABP3	None	PF00076			GO:0003676		nucleic acid binding		GO:0005829;GO:0005634	cytosol;nucleus	RNA binding;mRNA binding	GO:0003723;GO:0003729			C6KTC9
84	PF3D7_0629600	PF3D7_0629600.1	208	PF3D7_0629600	ribosomal RNA-processing protein 7, putative		None	PF12923			GO:0003676		nucleic acid binding		GO:0032545;GO:0034456	CURI complex;UTP-C complex			GO:0006364;GO:0000028	rRNA processing;ribosomal small subunit assembly	C6KTD1
85	PF3D7_0630900	PF3D7_0630900.1	209	PF3D7_0630900	ATP-dependent RNA helicase HAS1	HAS1	None	PF00270;PF00271;PF13959			GO:0005524;GO:0004386;GO:0003676		ATP binding;helicase activity;nucleic acid binding		GO:0005730	nucleolus	RNA binding;RNA helicase activity	GO:0003723;GO:0003724	GO:0032508;GO:0016070;GO:0010501;GO:0000463	DNA duplex unwinding;RNA metabolic process;RNA secondary structure unwinding;maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	C0KUE7,C6KTE4
86	PF3D7_0704900	PF3D7_0704900.1	210	PF3D7_0704900	peptide chain release factor 2	RF2	None	PF00472;PF03462	GO:0016021	integral component of membrane	GO:0004045;GO:0003747	GO:0006415	aminoacyl-tRNA hydrolase activity;translation release factor activity	translational termination	GO:0020011	apicoplast	ribosome binding;translation release factor activity	GO:0043022;GO:0003747	GO:0006415	translational termination	Q8IC21
87	PF3D7_0706500	PF3D7_0706500.1	39	PF3D7_0706500	conserved Plasmodium protein, unknown function		None								GO:0005634	nucleus	RNA binding;mRNA binding	GO:0003723;GO:0003729			C0H4L6
88	PF3D7_0710900	PF3D7_0710900.1	40	PF3D7_0710900	50S ribosomal protein L1, mitochondrial, putative	RPL1	None	PF00687							GO:0005762;GO:0005739;GO:0005840	mitochondrial large ribosomal subunit;mitochondrion;ribosome	structural constituent of ribosome	GO:0003735	GO:0006412	translation	Q8IBY1
89	PF3D7_0713600	PF3D7_0713600.1	41	PF3D7_0713600	ribosomal protein S5, mitochondrial, putative		None	PF00333;PF03719	GO:0005840	ribosome	GO:0003723;GO:0003735	GO:0006412	RNA binding;structural constituent of ribosome	translation	GO:0005763;GO:0005739	mitochondrial small ribosomal subunit;mitochondrion	structural constituent of ribosome	GO:0003735	GO:0006412	translation	A0A146M1R1
90	PF3D7_0714500	PF3D7_0714500.1	211	PF3D7_0714500	transcription elongation factor s-II, putative		None	PF01096;PF07500;PF08711	GO:0005634	nucleus	GO:0003676;GO:0003746;GO:0008270	GO:0006351	nucleic acid binding;translation elongation factor activity;zinc ion binding	transcription, DNA-templated	GO:0005634;GO:0008023	nucleus;transcription elongation factor complex			GO:0032784;GO:0006357	regulation of DNA-templated transcription, elongation;regulation of transcription by RNA polymerase II	Q8IBV2
91	PF3D7_0716000	PF3D7_0716000.1	212	PF3D7_0716000	RNA-binding protein, putative		None				GO:0003676		nucleic acid binding		GO:0071004;GO:0089701;GO:0000243;GO:0016607	U2-type prespliceosome;U2AF complex;commitment complex;nuclear speck	poly-pyrimidine tract binding;pre-mRNA 3'-splice site binding	GO:0008187;GO:0030628			Q8IBU0
92	PF3D7_0719700	PF3D7_0719700.1	42	PF3D7_0719700	40S ribosomal protein S10, putative	RPS10	None	PF03501							GO:0022627;GO:0005634	cytosolic small ribosomal subunit;nucleus	RNA binding;structural constituent of ribosome	GO:0003723;GO:0003735	GO:0000028;GO:0006412	ribosomal small subunit assembly;translation	Q8IBQ5
93	PF3D7_0720100	PF3D7_0720100.1	213	PF3D7_0720100	pre-rRNA-processing protein ESF2, putative	ESF2	None				GO:0003676		nucleic acid binding		GO:0005730	nucleolus	RNA binding	GO:0003723	GO:0000480;GO:0000447;GO:0000472;GO:0034462	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage to generate mature 5'-end of	Q8IBQ1
94	PF3D7_0721300	PF3D7_0721300.1	214	PF3D7_0721300	ATP-dependent RNA helicase DDX31	DDX31	None	PF00270;PF00271;PF13959			GO:0005524;GO:0004386;GO:0003676		ATP binding;helicase activity;nucleic acid binding		GO:0005730;GO:0005634	nucleolus;nucleus	ATP binding;ATP-dependent activity, acting on DNA;ATP-dependent activity, acting on RNA;DNA helicase activity;RNA binding;RNA helicase activity	GO:0005524;GO:0008094;GO:0008186;GO:0003678;GO:0003723;GO:0003724	GO:0016070;GO:0042254	RNA metabolic process;ribosome biogenesis	A0A346QRV1,A0A5J6CZ29,A7U5X0,Q8IBN8
95	PF3D7_0722400	PF3D7_0722400.1	43	PF3D7_0722400	Obg-like ATPase 1, putative	OLA1	None	PF01926;PF06071			GO:0005524;GO:0005525;GO:0043023;GO:0043022		ATP binding;GTP binding;ribosomal large subunit binding;ribosome binding		GO:0005737;GO:0005634	cytoplasm;nucleus	ATP hydrolysis activity;GTP binding	GO:0016887;GO:0005525	GO:0007165	signal transduction	Q8IBM9
96	PF3D7_0722600	PF3D7_0722600.1	44	PF3D7_0722600	U3 small nucleolar RNA-associated protein 7, putative	UTP7	None	PF08149			GO:0005515		protein binding		GO:0005730;GO:0030688;GO:0032040	nucleolus;preribosome, small subunit precursor;small-subunit processome			GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Q8IBM7
97	PF3D7_0723400	PF3D7_0723400.1	215	PF3D7_0723400	conserved Plasmodium protein, unknown function		None								GO:0005634	nucleus					Q8IBL9
98	PF3D7_0723900	PF3D7_0723900.1	45	PF3D7_0723900	RNA-binding protein, putative		None	PF00076			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005634	nucleus	mRNA binding;nucleic acid binding	GO:0003729;GO:0003676	GO:0000398	mRNA splicing, via spliceosome	Q8IBL4
99	PF3D7_0725200	PF3D7_0725200.1	216	PF3D7_0725200	mago nashi protein homologue, putative		None	PF02792	GO:0035145;GO:0005634	exon-exon junction complex;nucleus		GO:0008380		RNA splicing	GO:0035145	exon-exon junction complex			GO:0008380;GO:0007530	RNA splicing;sex determination	Q8IBJ9
100	PF3D7_0728900	PF3D7_0728900.1	46	PF3D7_0728900	RNA-binding protein, putative		None	PF00076			GO:0003676	GO:0000398	nucleic acid binding	mRNA splicing, via spliceosome	GO:0005686;GO:0005684	U2 snRNP;U2-type spliceosomal complex	RNA binding	GO:0003723			C0H4P9
101	PF3D7_0729000	PF3D7_0729000.1	47	PF3D7_0729000	signal recognition particle subunit SRP9	SRP9	None		GO:0048500	signal recognition particle	GO:0008312	GO:0006614	7S RNA binding	SRP-dependent cotranslational protein targeting to membrane	GO:0005737;GO:0005789;GO:0005634;GO:0005786	cytoplasm;endoplasmic reticulum membrane;nucleus;signal recognition particle, endoplasmic reticulum targeting	protein binding;ribosome binding	GO:0005515;GO:0043022	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	C0H4Q0,F2X1X5
102	PF3D7_0729400	PF3D7_0729400.1	217	PF3D7_0729400	ribosome biogenesis protein BRX1, putative		None	PF04427							GO:0005730;GO:0005634;GO:0030687	nucleolus;nucleus;preribosome, large subunit precursor			GO:0000027	ribosomal large subunit assembly	Q8IBG5
103	PF3D7_0731300	PF3D7_0731300.1	48	PF3D7_0731300	Plasmodium exported protein (PHISTb), unknown function	PfG174	None	PF09687	GO:0016021	integral component of membrane					GO:0020036;GO:0005634	Maurer's cleft;nucleus					Q8IBE9
104	PF3D7_0803000	PF3D7_0803000.1	218	PF3D7_0803000	peptidyl-prolyl cis-trans isomerase	CYP81	None	PF00160;PF08231			GO:0003755	GO:0006397;GO:0000413	peptidyl-prolyl cis-trans isomerase activity	mRNA processing;protein peptidyl-prolyl isomerization	GO:0000974;GO:0071013;GO:0005634;GO:0071014	Prp19 complex;catalytic step 2 spliceosome;nucleus;post-mRNA release spliceosomal complex					Q8IAN0
105	PF3D7_0803100	PF3D7_0803100.1	219	PF3D7_0803100	U3 small nucleolar RNA-associated protein 14, putative	UTP14	None		GO:0032040	small-subunit processome		GO:0006364		rRNA processing	GO:0005730;GO:0032040	nucleolus;small-subunit processome					Q8IAN1
106	PF3D7_0804000	PF3D7_0804000.1	220	PF3D7_0804000	cactin homolog, putative		None	PF09732;PF10312			GO:0005515		protein binding		GO:0005737;GO:0005681	cytoplasm;spliceosomal complex			GO:0045292;GO:0010468	mRNA cis splicing, via spliceosome;regulation of gene expression	Q8IAN8
107	PF3D7_0807100	PF3D7_0807100.1	221	PF3D7_0807100	DNA helicase PSH3	PSH3	None	PF00270;PF00271			GO:0005524;GO:0003678;GO:0004386;GO:0003676		ATP binding;DNA helicase activity;helicase activity;nucleic acid binding		GO:0005737;GO:0005634	cytoplasm;nucleus	3'-5' DNA helicase activity;ATP hydrolysis activity;RNA binding;RNA helicase activity;single-stranded DNA helicase activity	GO:0043138;GO:0016887;GO:0003723;GO:0003724;GO:0017116	GO:0032508	DNA duplex unwinding	A0A2D1GTQ5,A0A2D1GTQ8,Q8IAR1
108	PF3D7_0811300	PF3D7_0811300.1	49	PF3D7_0811300	CCR4-associated factor 1	CAF1	None		GO:0030014	CCR4-NOT complex	GO:0003676;GO:0004535		nucleic acid binding;poly(A)-specific ribonuclease activity		GO:0030014;GO:0030015;GO:0000932;GO:0005829;GO:0005634	CCR4-NOT complex;CCR4-NOT core complex;P-body;cytosol;nucleus	poly(A)-specific ribonuclease activity	GO:0004535	GO:0043928;GO:0017148	exonucleolytic catabolism of deadenylated mRNA;negative regulation of translation	C0H4T9
109	PF3D7_0811900	PF3D7_0811900.1	50	PF3D7_0811900	RNA-binding protein, putative		None	PF00575			GO:0003676		nucleic acid binding		GO:0020011	apicoplast	mRNA binding;structural constituent of ribosome	GO:0003729;GO:0003735	GO:0006412	translation	C0H4U1
110	PF3D7_0813400	PF3D7_0813400.1	222	PF3D7_0813400	conserved protein, unknown function		None								GO:0005634	nucleus	mRNA binding	GO:0003729			C0H4U5
111	PF3D7_0813600	PF3D7_0813600.1	223	PF3D7_0813600	translation initiation factor SUI1, putative		None	PF01253			GO:0003743	GO:0006413	translation initiation factor activity	translational initiation	GO:0005634	nucleus	mRNA binding	GO:0003729	GO:0001731;GO:0002188	formation of translation preinitiation complex;translation reinitiation	Q8IAX2
112	PF3D7_0814300	PF3D7_0814300.1	224	PF3D7_0814300	AAA family ATPase, putative		None	PF00004;PF17862			GO:0005524;GO:0016887		ATP binding;ATP hydrolysis activity		GO:0005634	nucleus	ATP hydrolysis activity;preribosome binding	GO:0016887;GO:1990275	GO:0051973;GO:0042254	positive regulation of telomerase activity;ribosome biogenesis	Q8IAX9
113	PF3D7_0815100	PF3D7_0815100.1	225	PF3D7_0815100	heptatricopeptide repeat and RAP domain-containing protein, putative		None	PF08373													Q8IAY8
114	PF3D7_0818000	PF3D7_0818000.1	226	PF3D7_0818000	U4/U6.U5 small nuclear ribonucleoprotein, putative	SNRNP27	None	PF08648	GO:0005634	nucleus		GO:0008380;GO:0006397		RNA splicing;mRNA processing							C0H4V5
115	PF3D7_0818400	PF3D7_0818400.1	51	PF3D7_0818400	rRNA-processing protein FCF1, putative	FCF1	None	PF04900	GO:0032040	small-subunit processome		GO:0006364		rRNA processing	GO:0005730;GO:0032040	nucleolus;small-subunit processome					C0H4V7
116	PF3D7_0819900	PF3D7_0819900.1	52	PF3D7_0819900	U6 snRNA-associated Sm-like protein LSm3, putative	LSM3	None	PF01423			GO:0003723	GO:0000398;GO:0000956	RNA binding	mRNA splicing, via spliceosome;nuclear-transcribed mRNA catabolic process	GO:1990726;GO:0000932;GO:0046540;GO:0005688;GO:0071013;GO:0005634;GO:0071011;GO:0005732	Lsm1-7-Pat1 complex;P-body;U4/U6 x U5 tri-snRNP complex;U6 snRNP;catalytic step 2 spliceosome;nucleus;precatalytic spliceosome;sno(s)RNA-containing ribonucleoprotein complex	RNA binding	GO:0003723	GO:0033962;GO:0008380;GO:0000375;GO:0000398	P-body assembly;RNA splicing;RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome	C0H4W2
117	PF3D7_0820000	PF3D7_0820000.1	227	PF3D7_0820000	Snf2-related CBP activator, putative	SRCAP	None	PF00176;PF00271;PF07529			GO:0005524;GO:0003677		ATP binding;DNA binding		GO:0000812;GO:0005737;GO:0016020;GO:0005634	Swr1 complex;cytoplasm;membrane;nucleus	ATP binding;ATP hydrolysis activity;helicase activity;histone binding;transcription coactivator activity	GO:0005524;GO:0016887;GO:0004386;GO:0042393;GO:0003713	GO:0043044;GO:0006338;GO:0016458;GO:0043486	ATP-dependent chromatin remodeling;chromatin remodeling;gene silencing;histone exchange	C0H4W3
118	PF3D7_0821300	PF3D7_0821300.1	228	PF3D7_0821300	ATP-dependent RNA helicase DHX36, putative	DHX36	None	PF00270;PF00271;PF04408;PF07717			GO:0005524;GO:0004386;GO:0003676		ATP binding;helicase activity;nucleic acid binding		GO:0005681	spliceosomal complex	RNA binding;RNA helicase activity	GO:0003723;GO:0003724	GO:0000398	mRNA splicing, via spliceosome	Q8IB47
119	PF3D7_0821500	PF3D7_0821500.1	229	PF3D7_0821500	ribosomal RNA small subunit methyltransferase NEP1, putative	NEP1	None	PF03587			GO:0008168		methyltransferase activity		GO:0005730;GO:0032040	nucleolus;small-subunit processome	rRNA (pseudouridine) methyltransferase activity;rRNA binding	GO:0070037;GO:0019843	GO:0070475;GO:0042274;GO:0042254	rRNA base methylation;ribosomal small subunit biogenesis;ribosome biogenesis	Q8IB49
120	PF3D7_0823200	PF3D7_0823200.1	230	PF3D7_0823200	RNA-binding protein		None	PF00076;PF00397			GO:0003676;GO:0005515		nucleic acid binding;protein binding		GO:0005737;GO:0005634;GO:1990904	cytoplasm;nucleus;ribonucleoprotein complex	RNA binding;mRNA binding	GO:0003723;GO:0003729	GO:0006417	regulation of translation	Q8IB66
121	PF3D7_0825500	PF3D7_0825500.1	53	PF3D7_0825500	protein KRI1, putative	KRI1	None	PF12936			GO:0008270		zinc ion binding		GO:0030686;GO:0005730	90S preribosome;nucleolus			GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Q8IB88
122	PF3D7_0827000	PF3D7_0827000.1	231	PF3D7_0827000	ATP-dependent RNA helicase DBP10, putative	DBP10	None	PF00270;PF00271			GO:0005524;GO:0003724;GO:0004386;GO:0003676		ATP binding;RNA helicase activity;helicase activity;nucleic acid binding		GO:0005730	nucleolus	ATP binding;RNA binding	GO:0005524;GO:0003723	GO:1902626	assembly of large subunit precursor of preribosome	Q8IBA2
123	PF3D7_0827600	PF3D7_0827600.1	54	PF3D7_0827600	conserved Plasmodium protein, unknown function		None								GO:0020011	apicoplast					Q8IBA8
124	PF3D7_0828200	PF3D7_0828200.1	232	PF3D7_0828200	leucine--tRNA ligase, putative		None	PF00133;PF08264;PF13603	GO:0016021	integral component of membrane	GO:0005524;GO:0002161;GO:0004812;GO:0004823;GO:0000166	GO:0006429;GO:0006418	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;leucine-tRNA ligase activity;nucleotide binding	leucyl-tRNA aminoacylation;tRNA aminoacylation for protein translation	GO:0020011;GO:0005739	apicoplast;mitochondrion	leucine-tRNA ligase activity	GO:0004823	GO:0006429;GO:0032543;GO:0006412	leucyl-tRNA aminoacylation;mitochondrial translation;translation	Q8IBB3
125	PF3D7_0829300	PF3D7_0829300.1	55	PF3D7_0829300	U6 snRNA-associated Sm-like protein LSm8, putative	LSM8	None	PF01423	GO:0046540;GO:0005688	U4/U6 x U5 tri-snRNP complex;U6 snRNP		GO:0000398		mRNA splicing, via spliceosome	GO:0046540;GO:0005688;GO:0071011;GO:0005732	U4/U6 x U5 tri-snRNP complex;U6 snRNP;precatalytic spliceosome;sno(s)RNA-containing ribonucleoprotein complex	RNA binding;U6 snRNA binding	GO:0003723;GO:0017070	GO:0016070;GO:0000398	RNA metabolic process;mRNA splicing, via spliceosome	C0H4Y9
126	PF3D7_0904700	PF3D7_0904700.1	56	PF3D7_0904700	bacterial histone-like protein	HU	None	PF00216			GO:0003677		DNA binding		GO:0020011;GO:0005634	apicoplast;nucleus	DNA binding	GO:0003677	GO:0051262	protein tetramerization	C1KUR4,Q8I3A2
127	PF3D7_0904800	PF3D7_0904800.1	57	PF3D7_0904800	replication protein A1, small fragment	RPA1	None	PF08646;PF16900							GO:0005662;GO:0005634	DNA replication factor A complex;nucleus	RNA binding;damaged DNA binding;sequence-specific DNA binding;single-stranded DNA binding;single-stranded telomeric DNA binding	GO:0003723;GO:0003684;GO:0043565;GO:0003697;GO:0043047	GO:0006281;GO:0006268;GO:0006261;GO:0000724;GO:0051321;GO:0006289;GO:0000723;GO:0007004	DNA repair;DNA unwinding involved in DNA replication;DNA-dependent DNA replication;double-strand break repair via homologous recombination;meiotic cell cycle;nucleotide-excision repair;telomere maintenance;telomere maintenance via telomerase	Q8I3A1
128	PF3D7_0905800	PF3D7_0905800.1	58	PF3D7_0905800	TFIIS domain-containing protein		None	PF08711	GO:0005634	nucleus					GO:0005634	nucleus					Q8I391
129	PF3D7_0906000	PF3D7_0906000.1	233	PF3D7_0906000	exoribonuclease II	RNaseII	None	PF00773;PF17849			GO:0003723;GO:0004540		RNA binding;ribonuclease activity		GO:0000932;GO:0000178;GO:0034399;GO:0005634	P-body;exosome (RNase complex);nuclear periphery;nucleus	3'-5'-exoribonuclease activity	GO:0000175	GO:0006402;GO:0016441	mRNA catabolic process;posttranscriptional gene silencing	C0H520
130	PF3D7_0906600	PF3D7_0906600.1	59	PF3D7_0906600	zinc finger protein, putative		None				GO:0046872		metal ion binding		GO:0005634	nucleus	mRNA binding	GO:0003729			Q8I383
131	PF3D7_0907600	PF3D7_0907600.1	60	PF3D7_0907600	translation initiation factor SUI1, putative		None	PF01253;PF17832			GO:0003723;GO:0003743	GO:0001731;GO:0006413	RNA binding;translation initiation factor activity	formation of translation preinitiation complex;translational initiation	GO:0005634	nucleus	translation initiation factor activity	GO:0003743	GO:0001731	formation of translation preinitiation complex	Q8I375
132	PF3D7_0909400	PF3D7_0909400.1	61	PF3D7_0909400	exoribonuclease, putative		None	PF03159;PF17846	GO:0005634	nucleus	GO:0004534;GO:0004527;GO:0008859;GO:0003676	GO:0006397;GO:0006139	5'-3' exoribonuclease activity;exonuclease activity;exoribonuclease II activity;nucleic acid binding	mRNA processing;nucleobase-containing compound metabolic process	GO:0005634	nucleus	5'-3' exoribonuclease activity;RNA binding	GO:0004534;GO:0003723	GO:0000956	nuclear-transcribed mRNA catabolic process	Q8I358
133	PF3D7_0914000	PF3D7_0914000.1	234	PF3D7_0914000	pseudouridylate synthase, putative		None	PF00849			GO:0003723;GO:0009982;GO:0004730	GO:0009451;GO:0001522	RNA binding;pseudouridine synthase activity;pseudouridylate synthase activity	RNA modification;pseudouridine synthesis	GO:0020036;GO:0020011	Maurer's cleft;apicoplast	pseudouridine synthase activity	GO:0009982	GO:0000455	enzyme-directed rRNA pseudouridine synthesis	Q8I312
134	PF3D7_0916200	PF3D7_0916200.1	235	PF3D7_0916200	mitochondrial ribonuclease P catalytic subunit, putative		None		GO:0016021;GO:0005739	integral component of membrane;mitochondrion		GO:0008033		tRNA processing	GO:0020011	apicoplast	ribonuclease P activity	GO:0004526	GO:0001682	tRNA 5'-leader removal	Q8I2Z0
135	PF3D7_0916700	PF3D7_0916700.1	236	PF3D7_0916700	RNA-binding protein musashi, putative	HoMu	None	PF00076			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005654;GO:0005634	nucleoplasm;nucleus	RNA binding;mRNA binding	GO:0003723;GO:0003729			Q8I2Y5
136	PF3D7_0917600	PF3D7_0917600.1	237	PF3D7_0917600	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative	PRP43	None	PF00270;PF00271;PF04408;PF07717			GO:0005524;GO:0003724;GO:0004386;GO:0003676		ATP binding;RNA helicase activity;helicase activity;nucleic acid binding		GO:0005634	nucleus	RNA binding	GO:0003723			Q8I2X7
137	PF3D7_0920900	PF3D7_0920900.1	62	PF3D7_0920900	U4/U6 snRNA-associated-splicing factor, putative	PRP24	None	PF00076			GO:0003676		nucleic acid binding		GO:1990904	ribonucleoprotein complex	RNA binding	GO:0003723			Q8I2U4
138	PF3D7_0923900	PF3D7_0923900.1	63	PF3D7_0923900	polyadenylate-binding protein 2, putative	PABP2	None	PF00076			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005829;GO:0005634	cytosol;nucleus	RNA binding;poly(A) binding	GO:0003723;GO:0008143			Q8I2R8
139	PF3D7_0924700	PF3D7_0924700.1	238	PF3D7_0924700	splicing factor 3A subunit 3, putative	SF3A3	None	PF11931;PF12108;PF16837	GO:0005634;GO:0005681	nucleus;spliceosomal complex	GO:0003723;GO:0003676;GO:0008270	GO:0000398	RNA binding;nucleic acid binding;zinc ion binding	mRNA splicing, via spliceosome	GO:0005681	spliceosomal complex	RNA binding	GO:0003723	GO:0000398	mRNA splicing, via spliceosome	Q8I2R0
140	PF3D7_0925200	PF3D7_0925200.1	239	PF3D7_0925200	ribosomal RNA-processing protein 8, putative	RRP8	None	PF05148			GO:0008168	GO:0032259;GO:0006364	methyltransferase activity	methylation;rRNA processing	GO:0005730;GO:0005634	nucleolus;nucleus					Q8I2Q6
141	PF3D7_0925300	PF3D7_0925300.1	64	PF3D7_0925300	proline--tRNA ligase, putative	aPRS	None	PF00587			GO:0005524;GO:0004812;GO:0000166	GO:0006418	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	tRNA aminoacylation for protein translation	GO:0020011;GO:0005739	apicoplast;mitochondrion	proline-tRNA ligase activity	GO:0004827	GO:0006433	prolyl-tRNA aminoacylation	Q8I2Q5
142	PF3D7_0927200	PF3D7_0927200.1	65	PF3D7_0927200	gametocyte development protein GD1, putative		None	PF00642			GO:0046872		metal ion binding		GO:0005829	cytosol					C0H566
143	PF3D7_0927600	PF3D7_0927600.1	66	PF3D7_0927600	RNA-binding protein, putative		None	PF15247			GO:0003723;GO:0003729		RNA binding;mRNA binding		GO:0005737;GO:0071204;GO:0005634	cytoplasm;histone pre-mRNA 3'end processing complex;nucleus	histone pre-mRNA stem-loop binding;mRNA binding	GO:0071207;GO:0003729	GO:0006398;GO:0051028	mRNA 3'-end processing by stem-loop binding and cleavage;mRNA transport	Q8I2N3
144	PF3D7_0929200	PF3D7_0929200.1	240	PF3D7_0929200	RNA-binding protein, putative		None	PF00076			GO:0003676		nucleic acid binding		GO:0005737;GO:0005634	cytoplasm;nucleus	mRNA binding	GO:0003729			C0H570
145	PF3D7_0931100	PF3D7_0931100.1	241	PF3D7_0931100	nucleolar protein Nop52, putative		None	PF05997	GO:0030688	preribosome, small subunit precursor		GO:0006364		rRNA processing	GO:0005634;GO:0030687	nucleus;preribosome, large subunit precursor			GO:0006364	rRNA processing	Q8I2K4
146	PF3D7_0932200	PF3D7_0932200.1	242	PF3D7_0932200	profilin	PFN	None	PF00235			GO:0003779	GO:0030036	actin binding	actin cytoskeleton organization	GO:0015629;GO:0005938;GO:0005737;GO:0005829;GO:0005634	actin cytoskeleton;cell cortex;cytoplasm;cytosol;nucleus	actin binding;actin monomer binding;phospholipid binding;proline-rich region binding;protein binding	GO:0003779;GO:0003785;GO:0005543;GO:0070064;GO:0005515	GO:0030036;GO:0048870;GO:0060327;GO:0044409;GO:0042989	actin cytoskeleton organization;cell motility;cytoplasmic actin-based contraction involved in cell motility;entry into host;sequestering of actin monomers	Q8I2J4
147	PF3D7_0933000	PF3D7_0933000.1	243	PF3D7_0933000	CSTF domain-containing protein, putative		None	PF00076;PF14327;PF15861			GO:0003676		nucleic acid binding		GO:0005847;GO:0005634	mRNA cleavage and polyadenylation specificity factor complex;nucleus	mRNA binding	GO:0003729	GO:0098789	pre-mRNA cleavage required for polyadenylation	Q8I0W1
148	PF3D7_0933900	PF3D7_0933900.1	244	PF3D7_0933900	Fip1 domain-containing protein, putative		None	PF05182	GO:0005634	nucleus					GO:0005634	nucleus					Q8I2H9
149	PF3D7_0934100	PF3D7_0934100.1	67	PF3D7_0934100	TFIIH basal transcription factor complex helicase XPD subunit	XPD	None	PF04851;PF06733;PF06777;PF13307	GO:0005634	nucleus	GO:0005524;GO:0003677;GO:0003678;GO:0004386;GO:0016787;GO:0016818;GO:0003676	GO:0006139;GO:0006289	ATP binding;DNA binding;DNA helicase activity;helicase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleic acid binding	nucleobase-containing compound metabolic process;nucleotide-excision repair	GO:0005737;GO:0005634	cytoplasm;nucleus	5'-3' DNA helicase activity;DNA helicase activity;damaged DNA binding;protein binding;single-stranded DNA helicase activity	GO:0043139;GO:0003678;GO:0003684;GO:0005515;GO:0017116	GO:0000717;GO:0033683;GO:0045951;GO:0000019;GO:0009411;GO:0006979;GO:0006366	nucleotide-excision repair, DNA duplex unwinding;nucleotide-excision repair, DNA incision;positive regulation of mitotic recombination;regulation of mitotic recombination;response to UV;response to oxidative stress;transcription by RNA polymerase II	I6XGB8,I6XPP1,Q8I2H7,Q8WSK4,R4S3T7
